"previousstatus","currentstatus","startdate","enddate","supportprojectstatuslog2supportproject","changetype"
9,3,"2020-07-03",NULL,185,0
1,9,"2019-05-02","2019-05-13",186,1
1,9,"2019-05-02","2019-05-02",186,1
9,1,"2019-05-02","2019-05-02",186,0
9,7,"2019-05-13",NULL,186,0
1,3,"2019-05-13","2019-10-11",187,0
3,9,"2020-02-18",NULL,187,1
4,3,"2019-10-11","2020-02-18",187,0
4,3,"2020-02-18","2020-02-18",187,0
1,3,"2019-05-13","2019-10-10",188,0
3,9,"2020-02-18",NULL,188,1
4,3,"2019-10-10","2020-02-18",188,0
1,3,"2019-05-07","2019-11-15",189,0
5,6,"2019-11-15",NULL,189,0
1,3,"2019-05-05",NULL,190,0
0,1,"2019-05-07","2019-05-07",191,0
1,3,"2019-05-07",NULL,191,0
4,5,"2020-02-10","2020-03-03",191,0
5,6,"2020-03-03",NULL,191,0
