"supportprojectstatuslogid","previousstatus","currentstatus","startdate","enddate","reason","additionalinfo","supportprojectstatuslog2supportproject","changetype"
1243,4,3,"2020-06-15",NULL,NULL,NULL,63,0
297,1,3,"2019-02-25","2020-02-18",NULL,NULL,64,0
235,1,9,"2018-12-13","2018-12-13",3,"Testing",64,1
861,4,6,"2020-02-18",NULL,NULL,NULL,64,0
236,9,1,"2018-12-13","2019-02-25",NULL,NULL,64,0
161,1,3,"2018-10-10","2020-04-14",NULL,NULL,65,0
1085,4,6,"2020-04-14",NULL,NULL,NULL,65,0
354,1,3,"2019-03-30","2020-03-30",NULL,NULL,66,0
1037,4,6,"2020-03-30",NULL,NULL,NULL,66,0
269,1,3,"2019-02-12","2019-10-02",NULL,NULL,67,0
587,5,6,"2019-10-02",NULL,NULL,NULL,67,0
167,1,3,"2018-10-29","2018-12-12",NULL,NULL,68,0
234,3,4,"2018-12-12","2019-11-18",NULL,NULL,68,0
662,3,4,"2019-11-18","2019-11-21",NULL,NULL,68,0
666,4,6,"2019-11-21",NULL,NULL,NULL,68,0
661,4,3,"2019-11-18","2019-11-18",NULL,NULL,68,0
166,1,3,"2018-10-24","2018-11-25",NULL,NULL,69,0
193,1,3,"2018-11-25","2018-11-29",NULL,NULL,69,0
165,1,3,"2018-10-24","2018-10-24",NULL,NULL,69,0
206,3,4,"2018-11-29","2019-01-11",NULL,NULL,69,0
242,4,5,"2019-01-11","2019-05-10",NULL,NULL,69,0
414,4,6,"2019-05-10","2019-08-05",NULL,NULL,69,0
511,6,8,"2019-08-05",NULL,NULL,NULL,69,0
181,1,3,"2018-11-15","2018-11-15",NULL,NULL,70,0
182,4,5,"2018-11-15",NULL,NULL,NULL,70,0
174,1,3,"2018-11-01","2019-02-28",NULL,NULL,71,0
311,1,4,"2019-02-28",NULL,NULL,NULL,71,0
202,1,3,"2018-11-28","2018-12-03",NULL,NULL,72,0
177,1,3,"2018-11-07","2018-11-14",NULL,NULL,72,0
180,1,3,"2018-11-14","2018-11-28",NULL,NULL,72,0
210,1,3,"2018-12-03",NULL,NULL,NULL,72,0
772,4,5,"2020-01-22",NULL,NULL,NULL,72,0
989,5,6,"2020-03-02",NULL,NULL,NULL,72,0
988,5,5,"2020-03-02","2020-03-02",NULL,NULL,72,0
178,1,3,"2018-11-07","2018-11-15",NULL,NULL,73,0
239,1,3,"2019-01-09",NULL,NULL,NULL,73,0
191,1,3,"2018-11-15","2019-01-09",NULL,NULL,73,0
190,1,3,"2018-11-15","2018-11-15",NULL,NULL,73,0
189,1,3,"2018-11-15","2018-11-15",NULL,NULL,73,0
843,4,5,"2020-02-14",NULL,NULL,NULL,73,0
969,5,5,"2020-03-02",NULL,NULL,NULL,73,0
972,5,5,"2020-03-02","2020-03-02",NULL,NULL,73,0
973,5,6,"2020-03-02",NULL,NULL,NULL,73,0
192,1,3,"2018-11-19","2018-12-14",NULL,NULL,74,0
237,4,5,"2018-12-14","2019-01-30",NULL,NULL,74,0
253,6,8,"2019-01-30",NULL,NULL,NULL,74,0
310,1,4,"2019-02-28",NULL,NULL,NULL,75,0
183,1,3,"2018-11-15","2018-11-15",NULL,NULL,76,0
185,4,5,"2018-11-15","2018-11-28",NULL,NULL,76,0
184,4,5,"2018-11-15","2018-11-15",NULL,NULL,76,0
200,4,5,"2018-11-28","2018-11-28",NULL,NULL,76,0
201,4,5,"2018-11-28",NULL,NULL,NULL,76,0
186,1,3,"2018-11-15","2018-11-15",NULL,NULL,77,0
187,4,5,"2018-11-15",NULL,NULL,NULL,77,0
198,1,3,"2018-11-28","2018-11-28",NULL,NULL,78,0
199,4,5,"2018-11-28",NULL,NULL,NULL,78,0
209,1,3,"2018-12-03",NULL,NULL,NULL,79,0
1167,4,5,"2020-05-25","2020-05-25",NULL,NULL,79,0
1168,5,6,"2020-05-25",NULL,NULL,NULL,79,0
238,1,3,"2018-12-16",NULL,NULL,NULL,80,0
1193,4,5,"2020-05-27","2020-05-27",NULL,NULL,80,0
1194,5,6,"2020-05-27",NULL,NULL,NULL,80,0
1195,6,5,"2020-05-27",NULL,NULL,NULL,80,0
1196,6,5,"2020-05-27",NULL,NULL,NULL,80,0
306,1,4,"2019-02-28",NULL,NULL,NULL,81,0
524,1,3,"2019-08-30",NULL,NULL,NULL,84,0
